DateRep	isoweek	LINEAGE_model	N_filtered	proz	proz7d	proz14d	proz28d	proz28dadapt	filter	proz_rescaled	region_name
2021-03-03	9	Wildtypes	442	0.347571135684915	0.354108756192963	0.348293937818545	0.347571135684915	0.348293937818545	FALSE	0.347571135684915	Deutschland
2021-03-04	9	Wildtypes	472	0.336927548519348	0.334745135234229	0.327608406468963	0.336927548519348	0.327608406468963	FALSE	0.336927548519348	Deutschland
2021-03-05	9	Wildtypes	514	0.323571300328706	0.317017353099859	0.311521202462383	0.323571300328706	0.311521202462383	FALSE	0.323571300328706	Deutschland
2021-03-06	9	Wildtypes	169	0.306479371844372	0.297459447645103	0.291840473727969	0.306479371844372	0.291840473727969	FALSE	0.306479371844372	Deutschland
2021-03-07	9	Wildtypes	113	0.291596430241235	0.282179027285668	0.277530703462575	0.291596430241235	0.277530703462575	FALSE	0.291596430241235	Deutschland
2021-03-08	10	Wildtypes	541	0.278283799856377	0.265754163947065	0.262047511390124	0.278283799856377	0.262047511390124	FALSE	0.278283799856377	Deutschland
2021-03-09	10	Wildtypes	480	0.265792091795822	0.247009030251964	0.245549889095046	0.265792091795822	0.245549889095046	FALSE	0.265792091795822	Deutschland
2021-03-10	10	Wildtypes	342	0.255793455608265	0.229572191262975	0.234033709923081	0.255793455608265	0.234033709923081	FALSE	0.255793455608265	Deutschland
2021-03-11	10	Wildtypes	326	0.240696972185381	0.220316271690921	0.220713518491093	0.240696972185381	0.220713518491093	FALSE	0.240696972185381	Deutschland
2021-03-12	10	Wildtypes	367	0.227821903991164	0.207077669680389	0.206381031414557	0.227821903991164	0.206381031414557	FALSE	0.227821903991164	Deutschland
2021-03-13	10	Wildtypes	124	0.214929136587936	0.193640330544989	0.194109215509523	0.214929136587936	0.194109215509523	FALSE	0.214929136587936	Deutschland
2021-03-14	10	Wildtypes	77	0.204401036946059	0.185888392560493	0.186365890063747	0.204401036946059	0.186365890063747	FALSE	0.204401036946059	Deutschland
2021-03-15	11	Wildtypes	368	0.194575421803177	0.175672873035121	0.177595588941708	0.194575421803177	0.177595588941708	FALSE	0.194575421803177	Deutschland
2021-03-16	11	Wildtypes	283	0.18355671919697	0.165753032577149	0.170198423309025	0.18355671919697	0.170198423309025	FALSE	0.18355671919697	Deutschland
